query_id,scope_type,scope_name,platform,issue_family,query_text,data_role,verification_status,notes
cv-gp-water,province,Gauteng,public_social,water,"Gauteng no water OR water outage OR burst pipe OR sewage spill OR tanker",sentiment,verified,"Province-wide citizen voice query pack"
cv-gp-roads,province,Gauteng,public_social,roads,"Gauteng potholes OR damaged road OR bridge collapse OR traffic lights out",sentiment,verified,"Province-wide citizen voice query pack"
cv-gp-electricity,province,Gauteng,public_social,electricity,"Gauteng power outage OR substation OR transformer exploded OR electricity off",sentiment,verified,"Province-wide citizen voice query pack"
cv-gp-refuse,province,Gauteng,public_social,refuse,"Gauteng refuse not collected OR rubbish piling up OR waste collection",sentiment,verified,"Province-wide citizen voice query pack"
cv-gp-housing,province,Gauteng,public_social,housing,"Gauteng housing backlog OR RDP housing OR informal settlement OR evictions",sentiment,verified,"Province-wide citizen voice query pack"
cv-gp-healthcare,province,Gauteng,public_social,healthcare,"Gauteng clinic shortage OR hospital backlog OR medicine shortage OR ambulance delay",sentiment,verified,"Province-wide citizen voice query pack"
cv-gp-governance,province,Gauteng,public_social,governance,"Gauteng municipality failed OR corruption OR service delivery failure OR billing crisis",sentiment,verified,"Province-wide citizen voice query pack"
cv-wc-water,province,Western Cape,public_social,water,"Western Cape no water OR water outage OR burst pipe OR sewage spill OR tanker",sentiment,verified,"Province-wide citizen voice query pack"
cv-wc-roads,province,Western Cape,public_social,roads,"Western Cape potholes OR damaged road OR bridge collapse OR traffic lights out",sentiment,verified,"Province-wide citizen voice query pack"
cv-wc-electricity,province,Western Cape,public_social,electricity,"Western Cape power outage OR substation OR transformer exploded OR electricity off",sentiment,verified,"Province-wide citizen voice query pack"
cv-wc-refuse,province,Western Cape,public_social,refuse,"Western Cape refuse not collected OR rubbish piling up OR waste collection",sentiment,verified,"Province-wide citizen voice query pack"
cv-wc-housing,province,Western Cape,public_social,housing,"Western Cape housing backlog OR RDP housing OR informal settlement OR evictions",sentiment,verified,"Province-wide citizen voice query pack"
cv-wc-healthcare,province,Western Cape,public_social,healthcare,"Western Cape clinic shortage OR hospital backlog OR medicine shortage OR ambulance delay",sentiment,verified,"Province-wide citizen voice query pack"
cv-wc-governance,province,Western Cape,public_social,governance,"Western Cape municipality failed OR corruption OR service delivery failure OR billing crisis",sentiment,verified,"Province-wide citizen voice query pack"
cv-kzn-water,province,KwaZulu-Natal,public_social,water,"KwaZulu-Natal no water OR water outage OR burst pipe OR sewage spill OR tanker",sentiment,verified,"Province-wide citizen voice query pack"
cv-kzn-roads,province,KwaZulu-Natal,public_social,roads,"KwaZulu-Natal potholes OR damaged road OR bridge collapse OR traffic lights out",sentiment,verified,"Province-wide citizen voice query pack"
cv-kzn-electricity,province,KwaZulu-Natal,public_social,electricity,"KwaZulu-Natal power outage OR substation OR transformer exploded OR electricity off",sentiment,verified,"Province-wide citizen voice query pack"
cv-kzn-refuse,province,KwaZulu-Natal,public_social,refuse,"KwaZulu-Natal refuse not collected OR rubbish piling up OR waste collection",sentiment,verified,"Province-wide citizen voice query pack"
cv-kzn-housing,province,KwaZulu-Natal,public_social,housing,"KwaZulu-Natal housing backlog OR RDP housing OR informal settlement OR evictions",sentiment,verified,"Province-wide citizen voice query pack"
cv-kzn-healthcare,province,KwaZulu-Natal,public_social,healthcare,"KwaZulu-Natal clinic shortage OR hospital backlog OR medicine shortage OR ambulance delay",sentiment,verified,"Province-wide citizen voice query pack"
cv-kzn-governance,province,KwaZulu-Natal,public_social,governance,"KwaZulu-Natal municipality failed OR corruption OR service delivery failure OR billing crisis",sentiment,verified,"Province-wide citizen voice query pack"
cv-ec-water,province,Eastern Cape,public_social,water,"Eastern Cape no water OR water outage OR burst pipe OR sewage spill OR tanker",sentiment,verified,"Province-wide citizen voice query pack"
cv-ec-roads,province,Eastern Cape,public_social,roads,"Eastern Cape potholes OR damaged road OR bridge collapse OR traffic lights out",sentiment,verified,"Province-wide citizen voice query pack"
cv-ec-electricity,province,Eastern Cape,public_social,electricity,"Eastern Cape power outage OR substation OR transformer exploded OR electricity off",sentiment,verified,"Province-wide citizen voice query pack"
cv-ec-refuse,province,Eastern Cape,public_social,refuse,"Eastern Cape refuse not collected OR rubbish piling up OR waste collection",sentiment,verified,"Province-wide citizen voice query pack"
cv-ec-housing,province,Eastern Cape,public_social,housing,"Eastern Cape housing backlog OR RDP housing OR informal settlement OR evictions",sentiment,verified,"Province-wide citizen voice query pack"
cv-ec-healthcare,province,Eastern Cape,public_social,healthcare,"Eastern Cape clinic shortage OR hospital backlog OR medicine shortage OR ambulance delay",sentiment,verified,"Province-wide citizen voice query pack"
cv-ec-governance,province,Eastern Cape,public_social,governance,"Eastern Cape municipality failed OR corruption OR service delivery failure OR billing crisis",sentiment,verified,"Province-wide citizen voice query pack"
cv-lp-water,province,Limpopo,public_social,water,"Limpopo no water OR water outage OR burst pipe OR sewage spill OR tanker",sentiment,verified,"Province-wide citizen voice query pack"
cv-lp-roads,province,Limpopo,public_social,roads,"Limpopo potholes OR damaged road OR bridge collapse OR traffic lights out",sentiment,verified,"Province-wide citizen voice query pack"
cv-lp-electricity,province,Limpopo,public_social,electricity,"Limpopo power outage OR substation OR transformer exploded OR electricity off",sentiment,verified,"Province-wide citizen voice query pack"
cv-lp-refuse,province,Limpopo,public_social,refuse,"Limpopo refuse not collected OR rubbish piling up OR waste collection",sentiment,verified,"Province-wide citizen voice query pack"
cv-lp-housing,province,Limpopo,public_social,housing,"Limpopo housing backlog OR RDP housing OR informal settlement OR evictions",sentiment,verified,"Province-wide citizen voice query pack"
cv-lp-healthcare,province,Limpopo,public_social,healthcare,"Limpopo clinic shortage OR hospital backlog OR medicine shortage OR ambulance delay",sentiment,verified,"Province-wide citizen voice query pack"
cv-lp-governance,province,Limpopo,public_social,governance,"Limpopo municipality failed OR corruption OR service delivery failure OR billing crisis",sentiment,verified,"Province-wide citizen voice query pack"
cv-mp-water,province,Mpumalanga,public_social,water,"Mpumalanga no water OR water outage OR burst pipe OR sewage spill OR tanker",sentiment,verified,"Province-wide citizen voice query pack"
cv-mp-roads,province,Mpumalanga,public_social,roads,"Mpumalanga potholes OR damaged road OR bridge collapse OR traffic lights out",sentiment,verified,"Province-wide citizen voice query pack"
cv-mp-electricity,province,Mpumalanga,public_social,electricity,"Mpumalanga power outage OR substation OR transformer exploded OR electricity off",sentiment,verified,"Province-wide citizen voice query pack"
cv-mp-refuse,province,Mpumalanga,public_social,refuse,"Mpumalanga refuse not collected OR rubbish piling up OR waste collection",sentiment,verified,"Province-wide citizen voice query pack"
cv-mp-housing,province,Mpumalanga,public_social,housing,"Mpumalanga housing backlog OR RDP housing OR informal settlement OR evictions",sentiment,verified,"Province-wide citizen voice query pack"
cv-mp-healthcare,province,Mpumalanga,public_social,healthcare,"Mpumalanga clinic shortage OR hospital backlog OR medicine shortage OR ambulance delay",sentiment,verified,"Province-wide citizen voice query pack"
cv-mp-governance,province,Mpumalanga,public_social,governance,"Mpumalanga municipality failed OR corruption OR service delivery failure OR billing crisis",sentiment,verified,"Province-wide citizen voice query pack"
cv-nw-water,province,North West,public_social,water,"North West no water OR water outage OR burst pipe OR sewage spill OR tanker",sentiment,verified,"Province-wide citizen voice query pack"
cv-nw-roads,province,North West,public_social,roads,"North West potholes OR damaged road OR bridge collapse OR traffic lights out",sentiment,verified,"Province-wide citizen voice query pack"
cv-nw-electricity,province,North West,public_social,electricity,"North West power outage OR substation OR transformer exploded OR electricity off",sentiment,verified,"Province-wide citizen voice query pack"
cv-nw-refuse,province,North West,public_social,refuse,"North West refuse not collected OR rubbish piling up OR waste collection",sentiment,verified,"Province-wide citizen voice query pack"
cv-nw-housing,province,North West,public_social,housing,"North West housing backlog OR RDP housing OR informal settlement OR evictions",sentiment,verified,"Province-wide citizen voice query pack"
cv-nw-healthcare,province,North West,public_social,healthcare,"North West clinic shortage OR hospital backlog OR medicine shortage OR ambulance delay",sentiment,verified,"Province-wide citizen voice query pack"
cv-nw-governance,province,North West,public_social,governance,"North West municipality failed OR corruption OR service delivery failure OR billing crisis",sentiment,verified,"Province-wide citizen voice query pack"
cv-fs-water,province,Free State,public_social,water,"Free State no water OR water outage OR burst pipe OR sewage spill OR tanker",sentiment,verified,"Province-wide citizen voice query pack"
cv-fs-roads,province,Free State,public_social,roads,"Free State potholes OR damaged road OR bridge collapse OR traffic lights out",sentiment,verified,"Province-wide citizen voice query pack"
cv-fs-electricity,province,Free State,public_social,electricity,"Free State power outage OR substation OR transformer exploded OR electricity off",sentiment,verified,"Province-wide citizen voice query pack"
cv-fs-refuse,province,Free State,public_social,refuse,"Free State refuse not collected OR rubbish piling up OR waste collection",sentiment,verified,"Province-wide citizen voice query pack"
cv-fs-housing,province,Free State,public_social,housing,"Free State housing backlog OR RDP housing OR informal settlement OR evictions",sentiment,verified,"Province-wide citizen voice query pack"
cv-fs-healthcare,province,Free State,public_social,healthcare,"Free State clinic shortage OR hospital backlog OR medicine shortage OR ambulance delay",sentiment,verified,"Province-wide citizen voice query pack"
cv-fs-governance,province,Free State,public_social,governance,"Free State municipality failed OR corruption OR service delivery failure OR billing crisis",sentiment,verified,"Province-wide citizen voice query pack"
cv-nc-water,province,Northern Cape,public_social,water,"Northern Cape no water OR water outage OR burst pipe OR sewage spill OR tanker",sentiment,verified,"Province-wide citizen voice query pack"
cv-nc-roads,province,Northern Cape,public_social,roads,"Northern Cape potholes OR damaged road OR bridge collapse OR traffic lights out",sentiment,verified,"Province-wide citizen voice query pack"
cv-nc-electricity,province,Northern Cape,public_social,electricity,"Northern Cape power outage OR substation OR transformer exploded OR electricity off",sentiment,verified,"Province-wide citizen voice query pack"
cv-nc-refuse,province,Northern Cape,public_social,refuse,"Northern Cape refuse not collected OR rubbish piling up OR waste collection",sentiment,verified,"Province-wide citizen voice query pack"
cv-nc-housing,province,Northern Cape,public_social,housing,"Northern Cape housing backlog OR RDP housing OR informal settlement OR evictions",sentiment,verified,"Province-wide citizen voice query pack"
cv-nc-healthcare,province,Northern Cape,public_social,healthcare,"Northern Cape clinic shortage OR hospital backlog OR medicine shortage OR ambulance delay",sentiment,verified,"Province-wide citizen voice query pack"
cv-nc-governance,province,Northern Cape,public_social,governance,"Northern Cape municipality failed OR corruption OR service delivery failure OR billing crisis",sentiment,verified,"Province-wide citizen voice query pack"
cv-jhb-water,municipality,City of Johannesburg,public_social,water,"Johannesburg no water OR Joburg water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-jhb-electricity,municipality,City of Johannesburg,public_social,electricity,"Johannesburg power outage OR substation OR transformer exploded OR City Power",sentiment,verified,"Municipality citizen voice query pack"
cv-jhb-housing,municipality,City of Johannesburg,public_social,housing,"Johannesburg housing backlog OR informal settlement OR eviction OR inner city housing",sentiment,verified,"Municipality citizen voice query pack"
cv-jhb-governance,municipality,City of Johannesburg,public_social,governance,"Johannesburg billing crisis OR municipality failed OR service delivery protest OR corruption",sentiment,verified,"Municipality citizen voice query pack"
cv-tsh-water,municipality,City of Tshwane,public_social,water,"Tshwane no water OR Pretoria water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-tsh-electricity,municipality,City of Tshwane,public_social,electricity,"Tshwane power outage OR Pretoria electricity off OR substation OR transformer",sentiment,verified,"Municipality citizen voice query pack"
cv-tsh-roads,municipality,City of Tshwane,public_social,roads,"Tshwane potholes OR Pretoria roads damaged OR traffic lights out",sentiment,verified,"Municipality citizen voice query pack"
cv-tsh-governance,municipality,City of Tshwane,public_social,governance,"Tshwane billing crisis OR municipality failed OR service delivery protest OR corruption",sentiment,verified,"Municipality citizen voice query pack"
cv-eku-water,municipality,Ekurhuleni,public_social,water,"Ekurhuleni no water OR burst pipe OR sewage spill OR tanker",sentiment,verified,"Municipality citizen voice query pack"
cv-eku-electricity,municipality,Ekurhuleni,public_social,electricity,"Ekurhuleni power outage OR electricity off OR substation OR transformer",sentiment,verified,"Municipality citizen voice query pack"
cv-eku-roads,municipality,Ekurhuleni,public_social,roads,"Ekurhuleni potholes OR roads damaged OR traffic lights out",sentiment,verified,"Municipality citizen voice query pack"
cv-eku-governance,municipality,Ekurhuleni,public_social,governance,"Ekurhuleni billing crisis OR municipality failed OR service delivery protest OR corruption",sentiment,verified,"Municipality citizen voice query pack"
cv-eth-water,municipality,eThekwini,public_social,water,"Durban no water OR eThekwini water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-eth-electricity,municipality,eThekwini,public_social,electricity,"Durban power outage OR eThekwini electricity off OR substation OR transformer",sentiment,verified,"Municipality citizen voice query pack"
cv-eth-roads,municipality,eThekwini,public_social,roads,"Durban potholes OR roads damaged OR bridge collapse OR traffic lights out",sentiment,verified,"Municipality citizen voice query pack"
cv-eth-governance,municipality,eThekwini,public_social,governance,"eThekwini billing crisis OR municipality failed OR service delivery protest OR corruption",sentiment,verified,"Municipality citizen voice query pack"
cv-cpt-water,municipality,City of Cape Town,public_social,water,"Cape Town water outage OR burst pipe OR sewage spill OR tanker",sentiment,verified,"Municipality citizen voice query pack"
cv-cpt-electricity,municipality,City of Cape Town,public_social,electricity,"Cape Town power outage OR substation OR electricity off OR transformer",sentiment,verified,"Municipality citizen voice query pack"
cv-cpt-housing,municipality,City of Cape Town,public_social,housing,"Cape Town housing backlog OR informal settlement OR eviction OR backyard dwellers",sentiment,verified,"Municipality citizen voice query pack"
cv-cpt-governance,municipality,City of Cape Town,public_social,governance,"Cape Town municipality failed OR service delivery protest OR corruption OR billing crisis",sentiment,verified,"Municipality citizen voice query pack"
cv-nmb-water,municipality,Nelson Mandela Bay,public_social,water,"Gqeberha no water OR Nelson Mandela Bay water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-nmb-electricity,municipality,Nelson Mandela Bay,public_social,electricity,"Gqeberha power outage OR Nelson Mandela Bay electricity off OR substation",sentiment,verified,"Municipality citizen voice query pack"
cv-nmb-roads,municipality,Nelson Mandela Bay,public_social,roads,"Gqeberha potholes OR roads damaged OR bridge collapse OR traffic lights out",sentiment,verified,"Municipality citizen voice query pack"
cv-nmb-governance,municipality,Nelson Mandela Bay,public_social,governance,"Nelson Mandela Bay municipality failed OR service delivery protest OR corruption OR billing crisis",sentiment,verified,"Municipality citizen voice query pack"
cv-bc-water,municipality,Buffalo City,public_social,water,"East London no water OR Buffalo City water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-bc-electricity,municipality,Buffalo City,public_social,electricity,"East London power outage OR Buffalo City electricity off OR substation",sentiment,verified,"Municipality citizen voice query pack"
cv-bc-roads,municipality,Buffalo City,public_social,roads,"East London potholes OR roads damaged OR bridge collapse OR traffic lights out",sentiment,verified,"Municipality citizen voice query pack"
cv-bc-governance,municipality,Buffalo City,public_social,governance,"Buffalo City municipality failed OR service delivery protest OR corruption OR billing crisis",sentiment,verified,"Municipality citizen voice query pack"
cv-man-water,municipality,Mangaung,public_social,water,"Bloemfontein no water OR Mangaung water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-man-electricity,municipality,Mangaung,public_social,electricity,"Bloemfontein power outage OR Mangaung electricity off OR substation",sentiment,verified,"Municipality citizen voice query pack"
cv-man-roads,municipality,Mangaung,public_social,roads,"Bloemfontein potholes OR roads damaged OR bridge collapse OR traffic lights out",sentiment,verified,"Municipality citizen voice query pack"
cv-man-governance,municipality,Mangaung,public_social,governance,"Mangaung municipality failed OR service delivery protest OR corruption OR billing crisis",sentiment,verified,"Municipality citizen voice query pack"
cv-pol-water,municipality,Polokwane,public_social,water,"Polokwane no water OR water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-pol-electricity,municipality,Polokwane,public_social,electricity,"Polokwane power outage OR electricity off OR substation OR transformer",sentiment,verified,"Municipality citizen voice query pack"
cv-pol-healthcare,municipality,Polokwane,public_social,healthcare,"Polokwane clinic shortage OR hospital backlog OR medicine shortage OR ambulance delay",sentiment,verified,"Municipality citizen voice query pack"
cv-pol-governance,municipality,Polokwane,public_social,governance,"Polokwane municipality failed OR service delivery protest OR corruption OR billing crisis",sentiment,verified,"Municipality citizen voice query pack"
cv-mbm-water,municipality,Mbombela,public_social,water,"Mbombela no water OR water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-mbm-electricity,municipality,Mbombela,public_social,electricity,"Mbombela power outage OR electricity off OR substation OR transformer",sentiment,verified,"Municipality citizen voice query pack"
cv-mbm-roads,municipality,Mbombela,public_social,roads,"Mbombela potholes OR roads damaged OR bridge collapse OR traffic lights out",sentiment,verified,"Municipality citizen voice query pack"
cv-mbm-governance,municipality,Mbombela,public_social,governance,"Mbombela municipality failed OR service delivery protest OR corruption OR billing crisis",sentiment,verified,"Municipality citizen voice query pack"
cv-rst-water,municipality,Rustenburg,public_social,water,"Rustenburg no water OR water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-rst-electricity,municipality,Rustenburg,public_social,electricity,"Rustenburg power outage OR electricity off OR substation OR transformer",sentiment,verified,"Municipality citizen voice query pack"
cv-rst-housing,municipality,Rustenburg,public_social,housing,"Rustenburg housing backlog OR informal settlement OR eviction",sentiment,verified,"Municipality citizen voice query pack"
cv-rst-governance,municipality,Rustenburg,public_social,governance,"Rustenburg municipality failed OR service delivery protest OR corruption OR billing crisis",sentiment,verified,"Municipality citizen voice query pack"
cv-sp-water,municipality,Sol Plaatje,public_social,water,"Kimberley no water OR Sol Plaatje water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-sp-electricity,municipality,Sol Plaatje,public_social,electricity,"Kimberley power outage OR Sol Plaatje electricity off OR substation",sentiment,verified,"Municipality citizen voice query pack"
cv-sp-roads,municipality,Sol Plaatje,public_social,roads,"Kimberley potholes OR roads damaged OR traffic lights out",sentiment,verified,"Municipality citizen voice query pack"
cv-sp-governance,municipality,Sol Plaatje,public_social,governance,"Sol Plaatje municipality failed OR service delivery protest OR corruption OR billing crisis",sentiment,verified,"Municipality citizen voice query pack"
cv-emf-water,municipality,Emfuleni,public_social,water,"Emfuleni no water OR sewage spill OR burst pipe OR tanker",sentiment,verified,"Municipality citizen voice query pack"
cv-emf-electricity,municipality,Emfuleni,public_social,electricity,"Emfuleni power outage OR electricity off OR substation OR transformer",sentiment,verified,"Municipality citizen voice query pack"
cv-emf-refuse,municipality,Emfuleni,public_social,refuse,"Emfuleni refuse not collected OR rubbish piling up OR waste collection",sentiment,verified,"Municipality citizen voice query pack"
cv-emf-governance,municipality,Emfuleni,public_social,governance,"Emfuleni municipality failed OR service delivery protest OR corruption OR billing crisis",sentiment,verified,"Municipality citizen voice query pack"
cv-msu-water,municipality,Msunduzi,public_social,water,"Pietermaritzburg no water OR Msunduzi water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-msu-electricity,municipality,Msunduzi,public_social,electricity,"Pietermaritzburg power outage OR Msunduzi electricity off OR substation OR transformer",sentiment,verified,"Municipality citizen voice query pack"
cv-msu-governance,municipality,Msunduzi,public_social,governance,"Msunduzi municipality failed OR service delivery protest OR corruption OR billing crisis",sentiment,verified,"Municipality citizen voice query pack"
cv-uml-water,municipality,uMhlathuze,public_social,water,"Richards Bay no water OR uMhlathuze water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-uml-electricity,municipality,uMhlathuze,public_social,electricity,"Richards Bay power outage OR uMhlathuze electricity off OR substation OR transformer",sentiment,verified,"Municipality citizen voice query pack"
cv-uml-roads,municipality,uMhlathuze,public_social,roads,"Richards Bay potholes OR uMhlathuze roads damaged OR traffic lights out",sentiment,verified,"Municipality citizen voice query pack"
cv-geo-water,municipality,George,public_social,water,"George no water OR George water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-geo-roads,municipality,George,public_social,roads,"George potholes OR George roads damaged OR traffic lights out",sentiment,verified,"Municipality citizen voice query pack"
cv-geo-governance,municipality,George,public_social,governance,"George municipality failed OR service delivery protest OR corruption OR billing crisis",sentiment,verified,"Municipality citizen voice query pack"
cv-ema-water,municipality,Emalahleni,public_social,water,"Witbank no water OR Emalahleni water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-ema-electricity,municipality,Emalahleni,public_social,electricity,"Witbank power outage OR Emalahleni electricity off OR substation OR transformer",sentiment,verified,"Municipality citizen voice query pack"
cv-ema-governance,municipality,Emalahleni,public_social,governance,"Emalahleni municipality failed OR service delivery protest OR corruption OR billing crisis",sentiment,verified,"Municipality citizen voice query pack"
cv-mtj-water,municipality,Matjhabeng,public_social,water,"Welkom no water OR Matjhabeng water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-mtj-electricity,municipality,Matjhabeng,public_social,electricity,"Welkom power outage OR Matjhabeng electricity off OR substation OR transformer",sentiment,verified,"Municipality citizen voice query pack"
cv-mtj-governance,municipality,Matjhabeng,public_social,governance,"Matjhabeng municipality failed OR service delivery protest OR corruption OR billing crisis",sentiment,verified,"Municipality citizen voice query pack"
cv-mah-water,municipality,Mahikeng,public_social,water,"Mahikeng no water OR Mafikeng water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-mah-roads,municipality,Mahikeng,public_social,roads,"Mahikeng potholes OR Mafikeng roads damaged OR traffic lights out",sentiment,verified,"Municipality citizen voice query pack"
cv-mah-governance,municipality,Mahikeng,public_social,governance,"Mahikeng municipality failed OR Mafikeng service delivery protest OR corruption OR billing crisis",sentiment,verified,"Municipality citizen voice query pack"
cv-lep-water,municipality,Lephalale,public_social,water,"Lephalale no water OR Lephalale water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-lep-electricity,municipality,Lephalale,public_social,electricity,"Lephalale power outage OR electricity off OR substation OR transformer",sentiment,verified,"Municipality citizen voice query pack"
cv-lep-governance,municipality,Lephalale,public_social,governance,"Lephalale municipality failed OR service delivery protest OR corruption OR billing crisis",sentiment,verified,"Municipality citizen voice query pack"
cv-thh-water,municipality,Thembisile Hani,public_social,water,"KwaMhlanga no water OR Thembisile Hani water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-thh-electricity,municipality,Thembisile Hani,public_social,electricity,"KwaMhlanga power outage OR Thembisile Hani electricity off OR substation OR transformer",sentiment,verified,"Municipality citizen voice query pack"
cv-thh-governance,municipality,Thembisile Hani,public_social,governance,"Thembisile Hani municipality failed OR service delivery protest OR corruption OR billing crisis",sentiment,verified,"Municipality citizen voice query pack"
cv-mog-water,municipality,Mogalakwena,public_social,water,"Mokopane no water OR Mogalakwena water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-mog-electricity,municipality,Mogalakwena,public_social,electricity,"Mokopane power outage OR Mogalakwena electricity off OR substation OR transformer",sentiment,verified,"Municipality citizen voice query pack"
cv-mog-governance,municipality,Mogalakwena,public_social,governance,"Mogalakwena municipality failed OR service delivery protest OR corruption OR billing crisis",sentiment,verified,"Municipality citizen voice query pack"
cv-sb-water,municipality,Saldanha Bay,public_social,water,"Saldanha Bay no water OR Vredenburg water outage OR burst pipe OR sewage spill",sentiment,verified,"Municipality citizen voice query pack"
cv-sb-roads,municipality,Saldanha Bay,public_social,roads,"Saldanha Bay potholes OR Vredenburg roads damaged OR traffic lights out",sentiment,verified,"Municipality citizen voice query pack"
cv-sb-governance,municipality,Saldanha Bay,public_social,governance,"Saldanha Bay municipality failed OR service delivery protest OR corruption OR billing crisis",sentiment,verified,"Municipality citizen voice query pack"
